fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
29,MO,Missouri,hown,Physical Environment,0.741,0.403,0.585,0.566,0.54,0.531,0.692,0.81,124049,100092,2210,8306,8027,16923,259607,0.114,19,80,3,2,,,,,,,,,,,0.554,0.681,0.662,0.778,55031,80810,104390,19929,260160,0.114,23
30,MT,Montana,hown,Physical Environment,0.723,,0.53,0.367,0.513,0.567,0.704,0.81,30334,,4671,1218,1738,2115,,,,,,,,,,,,,,,,,0.559,0.675,0.687,0.776,6240,14123,16434,3875,40671,0.102,15
31,NE,Nebraska,hown,Physical Environment,0.732,0.332,0.383,0.507,0.531,0.516,0.693,0.81,44728,14254,1568,3357,2208,13827,79942,0.114,18,54,5,2,,,,,,,,,,,0.532,0.663,0.674,0.773,15358,25293,31763,7676,80090,0.114,21
32,NV,Nevada,hown,Physical Environment,0.635,0.303,0.56,0.609,0.468,0.443,0.563,0.81,105581,42328,2183,15092,7442,74422,247050,0.244,44,29,2,5,,,,,,,,,,,0.424,0.515,0.552,0.68,44958,73334,95188,34406,247887,0.244,48
33,NH,New Hampshire,hown,Physical Environment,0.737,0.351,,0.563,0.47,0.416,0.72,0.81,33098,2374,,2537,1695,4432,,,,,,,,,,,,,,,,,0.512,0.67,0.691,0.806,8976,17237,18064,140,44417,0.087,10
34,NJ,New Jersey,hown,Physical Environment,0.771,0.394,0.501,0.63,0.543,0.363,0.646,0.81,70862,162324,1206,44807,8800,216929,504928,0.161,38,54,3,4,,,,,,,,,,,0.406,0.586,0.63,0.746,117839,179215,133674,77772,508500,0.162,41
35,NM,New Mexico,hown,Physical Environment,0.736,0.478,0.638,0.58,0.565,0.679,0.697,0.81,24820,4529,8312,2125,2020,38485,80291,0.109,15,96,2,2,,,,,,,,,,,0.629,0.69,0.673,0.759,17427,19981,32507,10649,80564,0.109,18
36,NY,New York,hown,Physical Environment,0.678,0.322,0.556,0.479,0.407,0.25,0.547,0.81,573271,468147,4035,161739,35018,595236,1837446,0.26,46,8,3,5,,,,,,,,,,,0.314,0.526,0.573,0.617,425197,485664,422965,513372,1847198,0.26,50
37,NC,North Carolina,hown,Physical Environment,0.748,0.472,0.682,0.62,0.545,0.457,0.668,0.81,150267,257854,4623,15052,11344,75330,514469,0.139,34,78,2,3,,,,,,,,,,,0.533,0.644,0.647,0.753,118898,142341,190503,64678,516420,0.139,37
38,ND,North Dakota,hown,Physical Environment,0.718,0.104,0.474,0.316,0.459,0.446,0.684,0.81,22369,3507,3724,1243,1324,2259,34426,0.123,22,0,5,3,,,,,,,,,,,0.568,0.671,0.672,0.738,4744,9806,14040,5818,34408,0.123,25
