fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Physical Environment,2021,28.7,31.5,0.78,0.526,0.703,0.564,0.688,0.468,0.702,0.81,33041,128080.0,921.0,4603,2511,16199,185355.0,0.104,14.0,94.0,2.0,2.0
2,AK,Alaska,Physical Environment,2021,61.6,63.2,0.72,0.36,0.616,0.55,0.565,0.487,0.669,0.81,14716,3242.0,5062.0,3400,2850,3844,33114.0,0.138,33.0,70.0,3.0,3.0
4,AZ,Arizona,Physical Environment,2021,36.3,39.8,0.714,0.337,0.564,0.631,0.518,0.535,0.65,0.81,146238,43345.0,16955.0,12010,9634,142430,370613.0,0.157,36.0,64.0,3.0,4.0
5,AR,Arkansas,Physical Environment,2021,47.5,56.5,0.735,0.456,0.622,0.515,0.66,0.525,0.679,0.81,59912,56400.0,1182.0,4080,2478,14358,138411.0,0.127,25.0,83.0,2.0,3.0
8,CO,Colorado,Physical Environment,2021,44.9,50.0,0.722,0.411,0.523,0.631,0.544,0.515,0.672,0.81,128144,28171.0,2762.0,8927,8415,90180,266599.0,0.135,31.0,75.0,3.0,3.0
9,CT,Connecticut,Physical Environment,2021,49.0,37.0,0.768,0.397,0.526,0.578,0.517,0.344,0.674,0.81,37945,49194.0,516.0,11225,4603,72466,175949.0,0.133,30.0,57.0,4.0,3.0
10,DE,Delaware,Physical Environment,2021,60.2,64.5,0.805,0.54,0.708,0.608,0.585,0.479,0.723,0.81,340,17868.0,124.0,2252,896,6994,28475.0,0.083,7.0,100.0,3.0,1.0
12,FL,Florida,Physical Environment,2021,25.4,24.5,0.745,0.458,0.638,0.693,0.586,0.515,0.659,0.81,286050,330073.0,2505.0,18343,17950,421043,1075964.0,0.148,35.0,79.0,2.0,4.0
16,ID,Idaho,Physical Environment,2021,36.3,31.1,0.74,0.403,0.613,0.672,0.596,0.524,0.717,0.81,33801,1103.0,1057.0,870,1672,13112,51614.0,0.089,9.0,92.0,3.0,2.0
17,IL,Illinois,Physical Environment,2021,38.5,39.9,0.76,0.398,0.524,0.628,0.523,0.532,0.676,0.81,149578,257725.0,1795.0,37494,13936,145737,606265.0,0.13,29.0,74.0,3.0,3.0
18,IN,Indiana,Physical Environment,2021,38.2,33.9,0.758,0.395,0.635,0.558,0.577,0.552,0.712,0.81,98206,87373.0,932.0,9424,5764,27395,229095.0,0.095,10.0,87.0,3.0,2.0
19,IA,Iowa,Physical Environment,2021,38.7,34.2,0.771,0.334,0.43,0.549,0.543,0.537,0.744,0.81,38367,14916.0,1288.0,5279,2538,11455,73843.0,0.063,2.0,68.0,5.0,1.0
20,KS,Kansas,Physical Environment,2021,34.7,36.0,0.734,0.382,0.549,0.583,0.58,0.562,0.695,0.81,63095,24225.0,2021.0,5070,3648,19522,117580.0,0.112,17.0,81.0,3.0,2.0
21,KY,Kentucky,Physical Environment,2021,46.4,46.4,0.729,0.38,0.436,0.528,0.555,0.386,0.69,0.81,111829,54075.0,1397.0,5215,4373,15219,192109.0,0.117,21.0,57.0,5.0,2.0
22,LA,Louisiana,Physical Environment,2021,29.6,32.0,0.769,0.493,0.687,0.66,0.607,0.474,0.672,0.81,39799,155163.0,1061.0,3414,3343,21701,224481.0,0.135,32.0,83.0,2.0,3.0
23,ME,Maine,Physical Environment,2021,26.3,30.5,0.744,0.213,0.563,0.583,0.524,0.535,0.732,0.81,32289,2243.0,665.0,948,2179,1521,39845.0,0.074,4.0,60.0,5.0,1.0
24,MD,Maryland,Physical Environment,2021,40.5,40.5,0.777,0.516,0.555,0.703,0.598,0.503,0.677,0.81,36717,177550.0,1190.0,11693,7184,40594,274927.0,0.13,27.0,85.0,2.0,3.0
25,MA,Massachusetts,Physical Environment,2021,33.0,32.0,0.705,0.351,0.396,0.541,0.473,0.261,0.635,0.81,200302,67233.0,1091.0,34582,10263,116555,430027.0,0.172,42.0,27.0,5.0,4.0
